Date,Open,High,Low,Close,Adj Close,Volume
2020-07-15,66.144997,66.605003,64.702499,64.750000,64.425087,8444800
2020-07-16,64.962502,67.449997,64.687500,67.095001,66.758324,10142000
2020-07-17,67.514999,69.364998,67.232498,68.845001,68.499542,12461600
2020-07-20,68.875000,69.470001,68.312500,68.582497,68.238358,6368800
2020-07-21,68.480003,69.892502,68.440002,69.082497,68.735847,5958400
2020-07-22,69.117500,70.599998,68.627502,70.105003,69.753220,6368000
2020-07-23,70.000000,71.082497,69.777496,70.242500,69.890030,8150000
2020-07-24,70.720001,71.407501,69.502502,70.062500,69.710930,7716000
2020-07-27,70.250000,70.402496,69.025002,69.407501,69.059219,8909200
2020-07-28,69.300003,70.822502,69.157501,70.010002,69.658699,6547600
2020-07-29,70.059998,71.214996,69.959999,70.360001,70.006935,5381600
2020-07-30,70.035004,70.610001,69.785004,70.584999,70.230804,4235200
2020-07-31,70.230003,70.705002,68.972504,70.175003,69.822868,8030400
2020-08-03,70.285004,70.464996,69.107498,69.397499,69.049271,8624400
2020-08-04,69.677498,71.307503,69.349998,71.262497,70.904907,9142400
2020-08-05,71.305000,71.500000,70.489998,70.945000,70.589005,6670800
2020-08-06,70.757500,71.192497,70.277496,70.702499,70.347717,4588000
2020-08-07,70.709999,72.352501,70.625000,71.945000,71.583984,4368800
2020-08-10,72.072502,72.279999,70.732498,70.910004,70.554184,7240000
2020-08-11,70.995003,71.144997,69.110001,69.447502,69.099022,6825200
2020-08-12,69.815002,71.492500,69.675003,71.147499,70.790489,6124400
2020-08-13,70.757500,71.364998,70.657501,71.099998,70.743225,3680000
2020-08-14,71.002502,71.035004,70.004997,70.125000,69.773117,4912800
2020-08-17,70.514999,71.267502,70.082497,70.747498,70.392494,4801200
2020-08-18,70.680000,71.292503,70.550003,70.762497,70.407417,4764800
2020-08-19,71.057503,71.065002,70.455002,70.584999,70.230804,5481600
2020-08-20,70.195000,70.940002,70.139999,70.527496,70.173592,3631200
2020-08-21,70.665001,70.760002,70.112503,70.602501,70.248222,5685600
2020-08-24,70.750000,70.779999,70.065002,70.657501,70.302948,3548800
2020-08-25,70.900002,70.912498,69.785004,70.327499,69.974602,4051600
2020-08-26,70.032501,70.352501,69.540001,69.750000,69.400002,5238800
2020-08-27,69.500000,70.120003,69.150002,69.720001,69.720001,4555600
2020-08-28,69.894997,69.992500,69.309998,69.887497,69.887497,4618400
2020-08-31,69.839996,70.912498,69.669998,69.792503,69.792503,6013600
2020-09-01,69.754997,69.879997,68.512497,69.282501,69.282501,5729600
2020-09-02,69.364998,72.425003,68.917503,72.065002,72.065002,9754400
2020-09-03,72.137497,72.772499,69.487503,70.147499,70.147499,7855200
2020-09-04,70.794998,71.500000,68.197502,69.330002,69.330002,7247600
2020-09-08,69.434998,70.207497,68.824997,69.477501,69.477501,7158000
2020-09-09,70.000000,71.705002,69.959999,70.592499,70.592499,4781600
2020-09-10,70.264999,70.497498,69.107498,69.227501,69.227501,4362800
2020-09-11,69.542503,69.797501,68.862503,69.537498,69.537498,3932800
2020-09-14,69.887497,70.997498,69.607498,70.480003,70.480003,3916400
2020-09-15,73.912498,74.824997,72.787498,73.925003,73.925003,10827600
2020-09-16,71.192497,71.737503,69.782501,70.087502,70.087502,19501600
2020-09-17,69.500000,70.067497,68.952499,69.879997,69.879997,9385600
2020-09-18,69.742500,70.497498,68.959999,69.230003,69.230003,14386000
2020-09-21,68.750000,69.172501,67.892502,69.050003,69.050003,7558800
2020-09-22,69.364998,69.987503,68.742500,69.514999,69.514999,7192800
2020-09-23,69.665001,69.665001,68.279999,68.327499,68.327499,5855200
2020-09-24,68.177498,69.940002,68.139999,69.385002,69.385002,7478400
2020-09-25,68.849998,70.532501,68.582497,70.455002,70.455002,5456800
2020-09-28,70.864998,71.507500,70.660004,71.035004,71.035004,6918400
2020-09-29,71.025002,71.482498,70.550003,70.779999,70.779999,7094000
2020-09-30,70.197502,70.782501,66.785004,69.389999,69.389999,23238400
2020-10-01,69.769997,71.010002,69.660004,70.690002,70.690002,10018400
2020-10-02,69.692497,71.787498,69.625000,70.292503,70.292503,8306000
2020-10-05,70.959999,72.245003,70.732498,71.977501,71.977501,6599200
2020-10-06,72.160004,73.125000,71.315002,72.570000,72.570000,7288400
2020-10-07,73.237503,74.442497,72.375000,74.279999,74.279999,10130400
2020-10-08,74.667503,75.495003,74.232498,75.260002,75.260002,5694400
2020-10-09,75.930000,75.930000,75.074997,75.727501,75.727501,6472000
2020-10-12,75.750000,77.014999,75.500000,76.417503,76.417503,5816400
2020-10-13,75.750000,76.080002,74.750000,75.367500,75.367500,8596800
2020-10-14,75.500000,75.820000,74.672501,75.160004,75.160004,5503200
2020-10-15,74.495003,74.972504,73.915001,74.614998,74.614998,5739200
2020-10-16,74.889999,76.550003,74.680000,76.400002,76.400002,7449600
2020-10-19,76.282501,76.907501,74.535004,74.887497,74.887497,7710400
2020-10-20,75.305000,76.025002,74.855003,75.247498,75.247498,6003200
2020-10-21,74.724998,75.620003,73.857498,74.419998,74.419998,7796000
2020-10-22,74.904999,76.077499,74.805000,75.567497,75.567497,8463600
2020-10-23,75.775002,76.387497,75.410004,75.767502,75.767502,5617200
2020-10-26,75.320000,75.737503,74.394997,75.662498,75.662498,5707600
2020-10-27,76.139999,76.430000,75.019997,75.779999,75.779999,4834200
2020-10-28,74.739998,76.050003,74.290001,74.459999,74.459999,7508900
2020-10-29,74.379997,75.029999,72.940002,74.010002,74.010002,7753100
2020-10-30,73.730003,74.349998,72.500000,73.209999,73.209999,8790500
2020-11-02,74.099998,75.449997,73.720001,75.129997,75.129997,9233600
2020-11-03,76.050003,76.930000,75.389999,76.019997,76.019997,6887900
2020-11-04,74.510002,74.910004,73.000000,73.320000,73.320000,12128800
2020-11-05,75.300003,76.250000,74.489998,74.750000,74.750000,8644100
2020-11-06,75.000000,76.059998,74.120003,75.720001,75.720001,6076100
2020-11-09,81.089996,83.339996,75.349998,75.510002,75.510002,12864500
2020-11-10,77.389999,77.529999,75.309998,75.989998,75.989998,8648100
2020-11-11,76.510002,78.379997,76.209999,77.540001,77.540001,6352618
